Devname1,Devname2,Tossingprob
agcattle,john_arthorne,4.00E-01
agoel,birt-chart-inbox,5.56E-02
agoel,birt-reportdesigner-inbox,2.22E-01
agoel,heng.li,5.56E-02
agoel,linhongc,5.56E-02
agoel,qwang,1.67E-01
agoel,rkanguri,2.78E-01
agoel,xiong.zhang,5.56E-02
agoel,zqian,1.11E-01
agramirez,carlos.sanchez,1
agujarathi,darin.eclipse,1
ahasegawa,atsushi071,1
aidanr,john_arthorne,1
aigdalov,alexander.igdalov,1
airvine,andre_weinand,4.17E-02
airvine,andrew_irvine,4.17E-02
airvine,eduardo_pereira,4.17E-02
airvine,kevin_haaland,4.17E-02
airvine,kim.moir,4.17E-02
airvine,knut_radloff,4.17E-02
airvine,nick_edgar,4.17E-02
airvine,platform-debug-inbox,4.17E-02
airvine,platform-swt-inbox,2.50E-01
airvine,platform-text-inbox,4.17E-02
airvine,platform-ui-inbox,4.17E-02
airvine,platform-update-inbox,8.33E-02
airvine,sonia_dimitrov,4.17E-02
airvine,tod_creasey,8.33E-02
airvine,veronika_irvine,1.25E-01
ajdt-inbox,aclement,2.00E-01
ajdt-inbox,andrew.eisenberg,2.00E-01
ajdt-inbox,dan,6.67E-02
ajdt-inbox,kim.moir,6.67E-02
ajdt-inbox,mpchapman,2.67E-01
ajdt-inbox,sjanuary,2.00E-01
akarjakina,tikhomirov.artem,1
akiezun,adam_kiezun,1.96E-02
akiezun,aeschli,9.80E-03
akiezun,andre_weinand,1.96E-02
akiezun,claude_knaus,3.92E-02
akiezun,daniel_megert,5.88E-02
akiezun,darin_wright,9.80E-03
akiezun,dcorbin,9.80E-03
akiezun,dirk_baeumer,4.90E-02
akiezun,dj_houghton,1.96E-02
akiezun,erich_gamma,7.84E-02
akiezun,jdt-core-inbox,5.88E-02
akiezun,jdt-debug-inbox,2.94E-02
akiezun,jdt-text-inbox,7.84E-02
akiezun,jdt-ui-inbox,6.86E-02
akiezun,jennifer_thorsley,9.80E-03
akiezun,kai-uwe_maetzel,2.94E-02
akiezun,kevin_haaland,9.80E-03
akiezun,markus_keller,1.96E-02
akiezun,martin_aeschlimann,8.82E-02
akiezun,mike_wilson,5.88E-02
akiezun,nick_edgar,3.92E-02
akiezun,olivier_thomann,2.94E-02
akiezun,pde-core-inbox,9.80E-03
akiezun,pde-ui-inbox,9.80E-03
akiezun,philippe_mulet,2.94E-02
akiezun,platform-swt-inbox,1.96E-02
akiezun,platform-text-inbox,9.80E-03
akiezun,platform-ui-inbox,3.92E-02
akiezun,platform-vcm-inbox,9.80E-03
akiezun,rory_lucyshyn-wright,1.96E-02
akiezun,sidney_f_monteiro,9.80E-03
akiezun,veronika_irvine,9.80E-03
akmathur,ashishkumarmathur,1
akurtakov,ebaron,1.43E-01
akurtakov,jjohnstn,2.86E-01
akurtakov,overholt,1.43E-01
akurtakov,rgrunber,1.43E-01
akurtakov,swagiaal,2.86E-01
alain,aaron,1.30E-02
alain,achapiro,1.30E-02
alain,aniefer,3.90E-02
alain,bnicolle,1.30E-02
alain,cdt-build-inbox,3.90E-02
alain,cdt-core-inbox,5.19E-02
alain,cdt-debug-inbox,2.60E-02
alain,cwiebe,3.90E-02
alain,ddaoust,1.30E-02
alain,dinglis,6.49E-02
alain,douglas.pollock,1.30E-02
alain,dschaefe,5.19E-02
alain,dschaefer,3.90E-02
alain,eclipse.sprigogin,1.30E-02
alain,gheorghe,5.19E-02
alain,hamer,3.90E-02
alain,jcamelon,7.79E-02
alain,jciesiel,1.30E-02
alain,jgreen,2.60E-02
alain,johan.walles,1.30E-02
alain,john.camelon,1.30E-02
alain,leo.treggiari,1.30E-02
alain,mbologa,1.30E-02
alain,mikhailk,5.19E-02
alain,mikhailkhod,2.60E-02
alain,mlescuyer,2.60E-02
alain,oyvind.harboe,1.30E-02
alain,pgraves,1.30E-02
alain,platform-runtime-inbox,1.30E-02
